Manufacturer,Model,SystemID,Security Level
Asus,ASUS_T00Q,5442,L1
Asus,ASUS_T00Q,5822,L1
ASUS,ASUS_T3X_TABLET_2012,198,L1
ASUS,ASUS_TF201_FACTORY_TAB_2011,99,L1
ASUS,ASUS_TF700K_TABLET_2012,151,L1
ASUS,ASUS_TF700KG_TABLET_2012,152,L1
ASUS,ASUS_TF700KL_TABLET_2012,153,L1
Asus,ASUS_X002,6023,L1
Asus,ASUS_X003,6024,L1
Asus,ASUS_X007D,6690,L1
Asus,ASUS_X009D_2,6792,L1
Asus,ASUS_X00AD_2,6769,L1
Asus,ASUS_X00BD_1,6904,L1
Asus,ASUS_X00DD,6927,L1
Asus,ASUS_X00HD_1,7576,L1
Asus,ASUS_X00HD_2,7577,L1
Asus,ASUS_X00HD_3,7651,L1
Asus,ASUS_X00HD_4,7578,L1
Asus,ASUS_X00HD_5,8188,L1
Asus,ASUS_X00ID,7337,L1
Asus,ASUS_X00IDB,7492,L1
Asus,ASUS_X00IDC,7491,L1
Asus,ASUS_X00LD_1,7478,L1
Asus,ASUS_X00LD_2,7503,L1
Asus,ASUS_X00LD_3,7479,L1
Asus,ASUS_X00P_1,7927,L1
Asus,ASUS_X00P_2,7928,L1
Asus,ASUS_X00P_3,7929,L1
Asus,ASUS_X00P_4,8376,L1
Asus,ASUS_X00P_6,8374,L1
Asus,ASUS_X00P_8,9702,L1
Asus,ASUS_X00QD,7991,L1
Asus,ASUS_X00R_1,8685,L1
Asus,ASUS_X00R_2,8364,L1
Asus,ASUS_X00R_3,8201,L1
Asus,ASUS_X00R_5,10105,L1
Asus,ASUS_X00R_6,12513,L1
Asus,ASUS_X00R_7,11425,L1
Asus,ASUS_X00T_2,8194,L1
Asus,ASUS_X00T_3,8195,L1
Asus,ASUS_X00T_4,8196,L1
Asus,ASUS_X00T_5,8197,L1
Asus,ASUS_X013D_1,6441,L1
Asus,ASUS_X013D_2,6440,L1
Asus,ASUS_X014D_1,6430,L1
Asus,ASUS_X014D_2,6431,L1
Asus,ASUS_X017D_1,7854,L1
Asus,ASUS_X017D_2,7951,L1
Asus,ASUS_X01A_1,10387,L1
Asus,ASUS_X01BD_1,10561,L1
Asus,ASUS_X01BD_2,10562,L1
Asus,ASUS_X550,6272,L1
Asus,ASUS_Z002,5662,L1
Asus,ASUS_Z002,5803,L1
Asus,ASUS_Z007,5908,L1
Asus,ASUS_Z007,5980,L1
Asus,ASUS_Z007,6065,L1
Asus,ASUS_Z00D,5962,L1
Asus,ASUS_Z00E_1,6056,L1
Asus,ASUS_Z00E_2,6057,L1
Asus,ASUS_Z00E_3,6203,L1
Asus,ASUS_Z00E_4,6476,L1
Asus,ASUS_Z00L_63,6078,L1
Asus,ASUS_Z00L_63,6168,L1
Asus,ASUS_Z00L_63A,6488,L1
Asus,ASUS_Z00L_63C,6655,L1
Asus,ASUS_Z00L_68,6238,L1
Asus,ASUS_Z00L_93,6237,L1
Asus,ASUS_Z00M,6261,L1
Asus,ASUS_Z00RD_1,6096,L1
